,id,Website,Article_URL,Headline,Claim_Date,Review_Date,Query/Keyword,Original_Claim_Website,Original_Claim_Only,Claim,Image_URL,Image_Path,Label_Website,Label,Context/Label_Explanation,Text_Only_Claim,Normal_Image,AI_Generated_Image,Altered_Image,Data_Collection_Type
10,10,AFP Factcheck,https://factcheck.afp.com/doc.afp.com.367M8LM,US influencer baselessly claims Ukraine manipulated image of hospital bombing,2024-07-10 00:00:00,2024-08-01 00:00:00,"""War in Ukraine""","""The Ukrainian Government PHOTOSHOPPED fake children’s toys into images of the hospital they destroyed in Kiev. This is worse than ZIONIST PROPAGANDA!"" says a July 10, 2024 post on X from Jackson Hinkle, whom AFP has previously fact-checked for spreading wartime disinformation.","""The Ukrainian Government PHOTOSHOPPED fake children’s toys into images of the hospital they destroyed in Kiev. This is worse than ZIONIST PROPAGANDA!""","This image shows fake children's toys that were photoshopped into the image by the Ukrainian Government after Kyiv's pediatric hospital was attacked by Russian cruise missiles on July 8, 2024.",https://web.archive.org/web/20250708171914/https://pbs.twimg.com/media/GSBx-ubXMAAVizU?format=jpg&name=large,images/ukraine_russia/10.jpg,FALSE,False,"Hany Farid, a digital forensics expert at the University of California-Berkeley (archived here), told AFP in a July 12 email that the photo shows ""no evidence of digital manipulation or editing.""
He said the Ukrainian government's use of the camera's original RAW file further suggests it ""is not fake or manipulated."" RAW files retain all of the data from the camera's sensor, without any automatic retouching to the image.
Farid said a model trained to distinguish real pictures from those created by artificial intelligence uncovered no signs of AI generation, either. But he added that he could not rule out whether the toys had been propped up or otherwise staged for dramatic effect.
Matthew Stamm, head of Drexel University's Multimedia and Information Security Lab (archived here), said July 13 that he also ""found no evidence of manipulation.""",False,True,False,False,Manual
11,11,AFP Factcheck,https://factcheck.afp.com/doc.afp.com.363K9LL,Posts falsely claim Zelensky's wife purchased $5 million luxury car,2024-07-06 00:00:00,2024-07-11 00:00:00,"""War in Ukraine""","""Zelinsky's wife just bought a $5,000,000.00 Bugatti while vacationing in Paris. Bravo! Let's send more money over,"" says a July 6, 2024 Facebook post.","""Zelinsky's wife just bought a $5,000,000.00 Bugatti while vacationing in Paris. Bravo! Let's send more money over.""","Ukrainian President Volodymyr Zelenskyy's wife bought a $5,000,000.00 Bugatti while vacationing in Paris.",,,FALSE,False,"The main piece of evidence in the posts is a photo of an invoice with the Bugatti logo.
The document indicates Zelenska should receive the luxury car in 2026. The invoice also says the price is 4,462,400, but it does not specify any currency.
Car Lovers, the firm that owns the Bugatti dealership in Paris, called the document ""fake news"" in a July 2 press release (archived here).
""The Car Lovers group vehemently denies both that this transaction took place and, therefore, that this invoice exists,"" the company said.
""Not only do the mandatory legal notices not appear on the invoice, but the price of the vehicle is also wrong, the price of the options and their description are inexact and incoherent, the visual corporate identity is outdated and the Car Lovers group would never have allowed such a document to be issued.""
The dealership address is misspelled on the invoice, with an ""l"" missing in ""Neuilly-sur-Seine."" The document also lacks mandatory information, such as the applicable value-added tax (VAT), and shows a number used in the Australian banking system but not in France.",True,False,False,False,Manual
12,12,Reuters,https://www.reuters.com/fact-check/photo-world-leaders-removing-suit-jackets-ukraine-is-altered-2025-03-25/,Fact Check: Photo of world leaders removing suit jackets for Ukraine is altered,2025-03-15 00:00:00,2025-03-25 00:00:00,"""Ukraine Fact Check""","""European leaders took off their suits to support Ukraine,"" said social media posts, opens new tab referring to a reporter's criticism, opens new tab (timestamp 1:20) of Zelenskiy for not wearing a suit during a White House visit three days earlier.","""European leaders took off their suits to support Ukraine.""","This is an authentic image of world leaders taking off their suits to symbolically support Ukraine at the London summit on Ukraine on March 2, 2025.",https://web.archive.org/web/20250708172020/https://leadstories.com/screenshot_3495456.jpg,images/ukraine_russia/12.jpg,altered,False,"World leaders gathered for a group photo at a summit in London did not remove their jackets in solidarity with Ukraine, and an image shared online appearing to show them doing so has been manipulated.",False,False,False,True,Manual
13,13,Reuters,https://www.reuters.com/fact-check/photo-suited-zelenskiy-wef-summit-predates-ukraine-war-2025-03-04/,"Fact Check: Photo of a suited Zelenskiy at WEF summit predates Ukraine war
",2025-03-02 00:00:00,2025-03-04 00:00:00,"""Ukraine Fact Check""","“Whenever you meet your real boss you always wear a suit,” said a March 2 X post, opens new tab, captioning the photo of Zelenskiy and the WEF’s Klaus Schwab.",“Whenever you meet your real boss you always wear a suit.” ,This image shows Ukrainian President Volodymyr Zelensky wearing a suit after the large-scale Russian invasion in Ukraine: in a talk with Klaus Schwab at the World Economic Forum.,https://web.archive.org/web/20250708172313/https://pbs.twimg.com/media/GlIOG43XYAA92B-?format=jpg&name=medium,images/ukraine_russia/13.jpg,misleading,Misleading,"The photo of a suited Zelenskiy shaking Klaus Schwab’s hand is from January 2020, two years before Russia invaded Ukraine.
A photo of a suit-wearing Volodymyr Zelenskiy shaking hands with the World Economic Forum’s founder has been presented online as evidence of double-standards by the Ukrainian president, though online discourse omits context that the photo is from years before Zelenskiy adopted more simple, military-style attire in solidarity with his citizens at war with Russia.",False,True,False,False,Manual
14,14,Reuters,https://www.reuters.com/fact-check/fox-news-did-not-report-usaid-funded-information-warfare-ukraine-2025-02-27/,Fact Check: Fox News did not report USAID funded ‘information warfare’ in Ukraine,2025-02-12 00:00:00,2025-02-27 00:00:00,"""Ukraine Fact Check""","The doctored screenshot shared on Facebook, opens new tab said: “Psychological and Information Warfare Center of Ukraine received $140,000,000 per month from USAID.”","“Psychological and Information Warfare Center of Ukraine received $140,000,000 per month from USAID.”","This image shows a screenshot of an authentic Fox News article with the title 'Psychological and Information Warfare Center of Ukraine received $140,000,000 per month from USAID'.",https://web.archive.org/web/20250708172424/https://pbs.twimg.com/media/GkYflJ6WMAEytIX?format=jpg&name=medium,images/ukraine_russia/14.jpg,altered,False,A spokesperson for Fox News Media said in an email that the news outlet did not publish any such story.,False,False,False,True,Manual
15,15,Reuters,https://www.reuters.com/fact-check/zelenskiys-latest-approval-rating-is-63-not-4-contrary-trumps-claim-2025-02-21/,"Fact Check: Zelenskiy's latest approval rating is 63%, not 4%, contrary to Trump's claim",2025-02-18 00:00:00,2025-02-21 00:00:00,"""Ukraine Fact Check""","""We have a situation where we haven't had elections in Ukraine; where we have martial law; where the leader of Ukraine - I hate to say it – but he's down at 4% approval rating,"" Trump said on February 18, opens new tab without offering any evidence, after being asked whether the U.S. would support Ukraine having fresh elections.","""We have a situation where we haven't had elections in Ukraine; where we have martial law; where the leader of Ukraine - I hate to say it – but he's down at 4% approval rating.""",In February 2025 Ukrainian President Volodymyr Zelenskyy's approval rating in Ukraine was down at 4%.,,,FALSE,False,"However, a poll, carried out by the Kyiv International Institute of Sociology, opens new tab (KIIS) found 63% of Ukrainian respondents approved of Zelenskiy, up from 56% in May 2024.
The White House, contacted by Reuters, declined to comment.
The latest poll, part of a project funded by The British Academy, surveyed 1,600 people between November 2024 and January 2025. Asked whether they approve or disapprove of Zelenskiy's actions as president, 26.1% of respondents said they “completely approve” and 36.9% said they “tend to approve”.
Another KIIS survey, carried out from February 4-9 this year, found 57% of Ukrainians trust Zelenskiy. The poll showed 37% of respondents do not trust him.
Anton Hrushetskyi, director of KIIS, told Reuters that while similar, trust and approval are not identical concepts. He said a person can approve of someone's activities, but that does not necessarily mean that they trust them.
Olga Onuch, a professor in comparative and Ukrainian politics at the University of Manchester who worked with KIIS to produce the surveys, said in a statement on Wednesday, opens new tab: “Trump’s claim is not only factually incorrect, but also irresponsible and anti-democratic - Zelenskiy remains a fairly popular political leader in Ukraine. Spreading misinformation about his legitimacy directly aids Kremlin propaganda and undermines the Ukrainian people's right to determine their own future.”",True,False,False,False,Manual
16,16,Reuters,https://www.reuters.com/fact-check/zelenskiys-quote-about-trump-nato-membership-lacks-context-2024-12-20/,"Fact Check: Zelenskiy’s quote about Trump and NATO membership lacks context
",2024-12-09 00:00:00,2024-12-20 00:00:00,"""Ukraine Fact Check""","Posts on Facebook, and X in December, quoted the Ukrainian leader as saying: “ZELENSKY: ""I WILL ASK BIDEN TO INVITE ME TO NATO...THERE'S NO POINT IN TALKING TO TRUMP."""," “ZELENSKY: ""I WILL ASK BIDEN TO INVITE ME TO NATO...THERE'S NO POINT IN TALKING TO TRUMP.""","In a press conference on December 9, 2024 Ukrainian President Volodymyr Zelenskyy said: 'I will ask Biden to invite me to NATO ... there's no point in talking to Trump.'",,,missing context,Misleading,"Zelenskiy told reporters at a joint press conference with German opposition leader Friedrich Merz on Dec. 9 that he hoped to call outgoing U.S. President Joe Biden in the coming days to discuss an invitation to the military alliance.
He did also say that he saw no reason to speak to Trump.
However, these comments presented alone lack important context, as Zelenskiy said he saw no reason to speak to Trump, because Trump was not yet the sitting president.",True,False,False,False,Manual
17,17,Reuters,https://www.reuters.com/fact-check/ukraines-president-zelenskiy-did-not-buy-palace-des-neiges-hotel-french-ski-2024-12-13/,Fact Check: Ukraine's President Zelenskiy did not buy 'Palace des Neiges' hotel in French ski resort,2024-11-29 00:00:00,2024-12-13 00:00:00,"""Ukraine Fact Check""","Posts on Facebook, and X said Zelenskiy purchased an ""88 million euro hotel in the Courchevel ski resort in France.""","""Zelenskiy purchased an 88 million euro hotel in the Courchevel ski resort in France.""",Ukrainian President Volodymyr Zelenskyy purchased an 88 million euro hotel in the Courchevel ski resort in France.,,,FALSE,False,"While the hotel is real, and was in fact bought by SBM, last year, neither Zelenskiy nor Film Heritage was involved in that sale. A spokesperson for the office of the president of Ukraine said the report was ""fake"". The hotel was not resold in October of this year for 88 million euros, the hotel group’s financial filings. Head of Press and Influence Department of SBM Group, Sylvie Cristin, told Reuters that the SBM Group acquired the ""Palace des Neiges"" in October 2023 to integrate its hotel portfolio.",True,False,False,False,Manual
18,18,Reuters,https://www.reuters.com/fact-check/russian-man-sentenced-14-years-jail-treason-not-burning-koran-2024-12-03/,"Fact Check: Russian man sentenced to 14 years in jail for treason, not for burning Koran",2024-11-26 00:00:00,2024-12-03 00:00:00,"""Ukraine Fact Check""","Nov. 26 posts on X and Facebook, some sharing an image of Zhuravel and others of Russian President Vladimir Putin holding a copy of the Koran, falsely said: “BREAKING: RUSSIA has sentenced a man to 14 YEARS IN PRISON for BURNING the QURAN.”",“BREAKING: RUSSIA has sentenced a man to 14 YEARS IN PRISON for BURNING the QURAN.”,In November 2024 Russia sentenced a man to 14 years in prison for burning the Quran.,,,FALSE,False,"A Russian man was jailed for 14 years in November for state treason, not for burning a copy of the Koran, contrary to online claims.
Nikita Zhuravel, 20, was already serving three and a half years in prison for burning a copy of the Koran when he was convicted of new offences linked to contact with Ukrainian intelligence.",True,False,False,False,Manual
19,19,Reuters,https://www.reuters.com/fact-check/italys-meloni-comment-misrepresented-condemnation-us-stance-ukraine-missiles-2024-11-29/,"Fact Check: Italy's Meloni comment misrepresented as condemnation of US stance on Ukraine missiles
",2024-11-20 00:00:00,2024-11-29 00:00:00,"""Ukraine Fact Check""","A day later, accounts on X and Facebook said: “BREAKING: Italian Prime Minister Meloni CONDEMNED the US-Ukrainian BOMBING of Russia.”",“BREAKING: Italian Prime Minister Meloni CONDEMNED the US-Ukrainian BOMBING of Russia.”,Italian Prime Minister Giorgia Meloni condemned the US-Ukrainian bombing of Russia at the G20 summit in Rio de Janeiro in November 2024.,,,misleading,Misleading,"Italian Prime Minister Giorgia Meloni said at the G20 summit in Rio de Janeiro that she understood the U.S. decision to approve Ukraine using its weapons in Russia, but her comments have been misleadingly represented online as a condemnation.",True,False,False,False,Manual
20,20,Reuters,https://www.reuters.com/fact-check/no-evidence-nato-chief-said-hell-expel-us-if-trump-surrenders-ukraine-2024-11-25/,"Fact Check: No evidence NATO chief said he’ll expel US if Trump ‘surrenders Ukraine’
",2024-11-05 00:00:00,2024-11-26 00:00:00,"""Ukraine Fact Check""","Posts on Facebook shared after Trump won the Nov. 5 U.S. presidential election said: “BREAKING: NATO Secretary General Mark Rutte says that ‘If Trump surrenders Ukraine to Putin, he will personally expel the United States from the alliance’” alongside comments asking if that “would be a bad thing”."," “BREAKING: NATO Secretary General Mark Rutte says that ‘If Trump surrenders Ukraine to Putin, he will personally expel the United States from the alliance’” alongside comments asking if that “would be a bad thing”.","After Donald Trump won the US presidential election in 2024, NATO Secretary General Mark Rutte said that ‘If Trump surrenders Ukraine to Putin, he will personally expel the United States from the alliance’.",,,no evidence,NEI,No evidence. There are no credible reports or references on NATO’s social media account or website that Rutte made the comment. A NATO official denied that Rutte made such a remark.,True,False,False,False,Manual
21,21,Reuters,https://www.reuters.com/fact-check/fabricated-quote-by-sheinbaum-calling-zelenskiy-drug-addict-2024-09-30/,"Fact Check: Fabricated quote by Sheinbaum calling Zelenskiy a ‘drug addict’ 
",2024-09-18 00:00:00,2024-09-30 00:00:00,"""Ukraine Fact Check""","Posts on social media falsely cite Sheinbaum as rejecting the invitation by saying, about Zelenskiy, “If I wanted to see a drug addict, I'd just take a walk around Tijuana.”"," “If I wanted to see a drug addict, I'd just take a walk around Tijuana.”","Mexican President-elect Claudia Sheinbaum rejected an invitation to Ukraine by Volodymr Zelenskyy and said towards him on September 17, 2024: 'If I wanted to see a drug addict, I'd just take a walk around Tijuana.'",,,FALSE,False,"Mexican President-elect Claudia Sheinbaum said on Sept. 17 that she did not immediately plan to visit Ukraine, citing her prioritization of domestic issues and Mexico’s principle of non-interference in foreign affairs. She did not call Ukrainian President Volodymyr Zelenskiy a drug addict, contrary to a fabricated quote shared online.",True,False,False,False,Manual
