id,Website,Article_URL,Headline,Claim_Date,Review_Date,Query/Keyword,Label_Website,Image_URL,Original_Claim_Website,Original_Claim_Only,Context/Label_Explanation,Text_Only_Claim,Normal_Image,AI_Generated_Image,Altered_Image
10,AFP Factcheck,https://factcheck.afp.com/doc.afp.com.367M8LM,US influencer baselessly claims Ukraine manipulated image of hospital bombing,2024-07-10,2024-08-01,"""War in Ukraine""",FALSE,https://web.archive.org/web/20250708171914/https://pbs.twimg.com/media/GSBx-ubXMAAVizU?format=jpg&name=large,"""The Ukrainian Government PHOTOSHOPPED fake children’s toys into images of the hospital they destroyed in Kiev. This is worse than ZIONIST PROPAGANDA!"" says a July 10, 2024 post on X from Jackson Hinkle, whom AFP has previously fact-checked for spreading wartime disinformation.","""The Ukrainian Government PHOTOSHOPPED fake children’s toys into images of the hospital they destroyed in Kiev. This is worse than ZIONIST PROPAGANDA!""","Hany Farid, a digital forensics expert at the University of California-Berkeley (archived here), told AFP in a July 12 email that the photo shows ""no evidence of digital manipulation or editing.""
He said the Ukrainian government's use of the camera's original RAW file further suggests it ""is not fake or manipulated."" RAW files retain all of the data from the camera's sensor, without any automatic retouching to the image.
Farid said a model trained to distinguish real pictures from those created by artificial intelligence uncovered no signs of AI generation, either. But he added that he could not rule out whether the toys had been propped up or otherwise staged for dramatic effect.
Matthew Stamm, head of Drexel University's Multimedia and Information Security Lab (archived here), said July 13 that he also ""found no evidence of manipulation.""",No,Yes,No,No
11,AFP Factcheck,https://factcheck.afp.com/doc.afp.com.363K9LL,"Posts falsely claim Zelensky's wife purchased $5 million luxury car

",2024-07-06,2024-07-11,"""War in Ukraine""",FALSE,,"""Zelinsky's wife just bought a $5,000,000.00 Bugatti while vacationing in Paris. Bravo! Let's send more money over,"" says a July 6, 2024 Facebook post.","""Zelinsky's wife just bought a $5,000,000.00 Bugatti while vacationing in Paris. Bravo! Let's send more money over.""","The main piece of evidence in the posts is a photo of an invoice with the Bugatti logo.
The document indicates Zelenska should receive the luxury car in 2026. The invoice also says the price is 4,462,400, but it does not specify any currency.
Car Lovers, the firm that owns the Bugatti dealership in Paris, called the document ""fake news"" in a July 2 press release (archived here).
""The Car Lovers group vehemently denies both that this transaction took place and, therefore, that this invoice exists,"" the company said.
""Not only do the mandatory legal notices not appear on the invoice, but the price of the vehicle is also wrong, the price of the options and their description are inexact and incoherent, the visual corporate identity is outdated and the Car Lovers group would never have allowed such a document to be issued.""
The dealership address is misspelled on the invoice, with an ""l"" missing in ""Neuilly-sur-Seine."" The document also lacks mandatory information, such as the applicable value-added tax (VAT), and shows a number used in the Australian banking system but not in France. ",Yes,No,No,No
12,Reuters,https://www.reuters.com/fact-check/photo-world-leaders-removing-suit-jackets-ukraine-is-altered-2025-03-25/,Fact Check: Photo of world leaders removing suit jackets for Ukraine is altered,2025-03-15,2025-03-25,"""Ukraine Fact Check""",ALTERED,https://web.archive.org/web/20250708172020/https://leadstories.com/screenshot_3495456.jpg,"""European leaders took off their suits to support Ukraine,"" said social media posts, opens new tab referring to a reporter's criticism, opens new tab (timestamp 1:20) of Zelenskiy for not wearing a suit during a White House visit three days earlier.","""European leaders took off their suits to support Ukraine.""","World leaders gathered for a group photo at a summit in London did not remove their jackets in solidarity with Ukraine, and an image shared online appearing to show them doing so has been manipulated.",No,No,No,Yes
13,Reuters,https://www.reuters.com/fact-check/photo-suited-zelenskiy-wef-summit-predates-ukraine-war-2025-03-04/,"Fact Check: Photo of a suited Zelenskiy at WEF summit predates Ukraine war
",2025-03-02,2025-03-04,"""Ukraine Fact Check""",MISLEADING,https://web.archive.org/web/20250708172313/https://pbs.twimg.com/media/GlIOG43XYAA92B-?format=jpg&name=medium,"“Whenever you meet your real boss you always wear a suit,” said a March 2 X post, opens new tab, captioning the photo of Zelenskiy and the WEF’s Klaus Schwab.",“Whenever you meet your real boss you always wear a suit.”,"The photo of a suited Zelenskiy shaking Klaus Schwab’s hand is from January 2020, two years before Russia invaded Ukraine.
A photo of a suit-wearing Volodymyr Zelenskiy shaking hands with the World Economic Forum’s founder has been presented online as evidence of double-standards by the Ukrainian president, though online discourse omits context that the photo is from years before Zelenskiy adopted more simple, military-style attire in solidarity with his citizens at war with Russia.",No,Yes,No,No
14,Reuters,https://www.reuters.com/fact-check/fox-news-did-not-report-usaid-funded-information-warfare-ukraine-2025-02-27/,Fact Check: Fox News did not report USAID funded ‘information warfare’ in Ukraine,2025-02-12,2025-02-27,"""Ukraine Fact Check""",ALTERED,https://web.archive.org/web/20250708172424/https://pbs.twimg.com/media/GkYflJ6WMAEytIX?format=jpg&name=medium,"The doctored screenshot shared on Facebook, opens new tab said: “Psychological and Information Warfare Center of Ukraine received $140,000,000 per month from USAID.”","“Psychological and Information Warfare Center of Ukraine received $140,000,000 per month from USAID.”",A spokesperson for Fox News Media said in an email that the news outlet did not publish any such story.,No,No,No,Yes
15,Reuters,https://www.reuters.com/fact-check/zelenskiys-latest-approval-rating-is-63-not-4-contrary-trumps-claim-2025-02-21/,"Fact Check: Zelenskiy's latest approval rating is 63%, not 4%, contrary to Trump's claim",2025-02-18,2025-02-21,"""Ukraine Fact Check""",FALSE,,"""We have a situation where we haven't had elections in Ukraine; where we have martial law; where the leader of Ukraine - I hate to say it – but he's down at 4% approval rating,"" Trump said on February 18, opens new tab without offering any evidence, after being asked whether the U.S. would support Ukraine having fresh elections.","""We have a situation where we haven't had elections in Ukraine; where we have martial law; where the leader of Ukraine - I hate to say it – but he's down at 4% approval rating."" ","However, a poll, carried out by the Kyiv International Institute of Sociology, opens new tab (KIIS) found 63% of Ukrainian respondents approved of Zelenskiy, up from 56% in May 2024.
The White House, contacted by Reuters, declined to comment.
The latest poll, part of a project funded by The British Academy, surveyed 1,600 people between November 2024 and January 2025. Asked whether they approve or disapprove of Zelenskiy's actions as president, 26.1% of respondents said they “completely approve” and 36.9% said they “tend to approve”.
Another KIIS survey, carried out from February 4-9 this year, found 57% of Ukrainians trust Zelenskiy. The poll showed 37% of respondents do not trust him.
Anton Hrushetskyi, director of KIIS, told Reuters that while similar, trust and approval are not identical concepts. He said a person can approve of someone's activities, but that does not necessarily mean that they trust them.
Olga Onuch, a professor in comparative and Ukrainian politics at the University of Manchester who worked with KIIS to produce the surveys, said in a statement on Wednesday, opens new tab: “Trump’s claim is not only factually incorrect, but also irresponsible and anti-democratic - Zelenskiy remains a fairly popular political leader in Ukraine. Spreading misinformation about his legitimacy directly aids Kremlin propaganda and undermines the Ukrainian people's right to determine their own future.”",Yes,No,No,No
16,Reuters,https://www.reuters.com/fact-check/zelenskiys-quote-about-trump-nato-membership-lacks-context-2024-12-20/,"Fact Check: Zelenskiy’s quote about Trump and NATO membership lacks context
",2024-12-09,2024-12-20,"""Ukraine Fact Check""",MISSING CONTEXT,,"Posts on Facebook, and X in December, quoted the Ukrainian leader as saying: “ZELENSKY: ""I WILL ASK BIDEN TO INVITE ME TO NATO...THERE'S NO POINT IN TALKING TO TRUMP."""," “ZELENSKY: ""I WILL ASK BIDEN TO INVITE ME TO NATO...THERE'S NO POINT IN TALKING TO TRUMP.""","Zelenskiy told reporters at a joint press conference with German opposition leader Friedrich Merz on Dec. 9 that he hoped to call outgoing U.S. President Joe Biden in the coming days to discuss an invitation to the military alliance.
He did also say that he saw no reason to speak to Trump.
However, these comments presented alone lack important context, as Zelenskiy said he saw no reason to speak to Trump, because Trump was not yet the sitting president.",Yes,No,No,No
17,Reuters,https://www.reuters.com/fact-check/ukraines-president-zelenskiy-did-not-buy-palace-des-neiges-hotel-french-ski-2024-12-13/,Fact Check: Ukraine's President Zelenskiy did not buy 'Palace des Neiges' hotel in French ski resort,2024-11-29,2024-12-13,"""Ukraine Fact Check""",FALSE,,"Posts on Facebook, and X said Zelenskiy purchased an ""88 million euro hotel in the Courchevel ski resort in France.""","""Zelenskiy purchased an 88 million euro hotel in the Courchevel ski resort in France.""","While the hotel is real, and was in fact bought by SBM, last year, neither Zelenskiy nor Film Heritage was involved in that sale. A spokesperson for the office of the president of Ukraine said the report was ""fake"". The hotel was not resold in October of this year for 88 million euros, the hotel group’s financial filings. Head of Press and Influence Department of SBM Group, Sylvie Cristin, told Reuters that the SBM Group acquired the ""Palace des Neiges"" in October 2023 to integrate its hotel portfolio.",Yes,No,No,No
18,Reuters,https://www.reuters.com/fact-check/russian-man-sentenced-14-years-jail-treason-not-burning-koran-2024-12-03/,"Fact Check: Russian man sentenced to 14 years in jail for treason, not for burning Koran",2024-11-26,2024-12-03,"""Ukraine Fact Check""",FALSE,,"Nov. 26 posts on X and Facebook, some sharing an image of Zhuravel and others of Russian President Vladimir Putin holding a copy of the Koran, falsely said: “BREAKING: RUSSIA has sentenced a man to 14 YEARS IN PRISON for BURNING the QURAN.”",“BREAKING: RUSSIA has sentenced a man to 14 YEARS IN PRISON for BURNING the QURAN.”,"A Russian man was jailed for 14 years in November for state treason, not for burning a copy of the Koran, contrary to online claims.
Nikita Zhuravel, 20, was already serving three and a half years in prison for burning a copy of the Koran when he was convicted of new offences linked to contact with Ukrainian intelligence.",Yes,No,No,No
19,Reuters,https://www.reuters.com/fact-check/italys-meloni-comment-misrepresented-condemnation-us-stance-ukraine-missiles-2024-11-29/,"Fact Check: Italy's Meloni comment misrepresented as condemnation of US stance on Ukraine missiles
",2024-11-20,2024-11-29,"""Ukraine Fact Check""",MISLEADING,,"A day later, accounts on X and Facebook said: “BREAKING: Italian Prime Minister Meloni CONDEMNED the US-Ukrainian BOMBING of Russia.”",“BREAKING: Italian Prime Minister Meloni CONDEMNED the US-Ukrainian BOMBING of Russia.”,"Italian Prime Minister Giorgia Meloni said at the G20 summit in Rio de Janeiro that she understood the U.S. decision to approve Ukraine using its weapons in Russia, but her comments have been misleadingly represented online as a condemnation.",Yes,No,No,No
20,Reuters,https://www.reuters.com/fact-check/no-evidence-nato-chief-said-hell-expel-us-if-trump-surrenders-ukraine-2024-11-25/,"Fact Check: No evidence NATO chief said he’ll expel US if Trump ‘surrenders Ukraine’
",2024-11-05,2024-11-26,"""Ukraine Fact Check""",NO EVIDENCE,,"Posts on Facebook shared after Trump won the Nov. 5 U.S. presidential election said: “BREAKING: NATO Secretary General Mark Rutte says that ‘If Trump surrenders Ukraine to Putin, he will personally expel the United States from the alliance’” alongside comments asking if that “would be a bad thing”."," “BREAKING: NATO Secretary General Mark Rutte says that ‘If Trump surrenders Ukraine to Putin, he will personally expel the United States from the alliance’” alongside comments asking if that “would be a bad thing”.",No evidence. There are no credible reports or references on NATO’s social media account or website that Rutte made the comment. A NATO official denied that Rutte made such a remark.,Yes,No,No,No
21,Reuters,https://www.reuters.com/fact-check/fabricated-quote-by-sheinbaum-calling-zelenskiy-drug-addict-2024-09-30/,"Fact Check: Fabricated quote by Sheinbaum calling Zelenskiy a ‘drug addict’ 
",2024-09-18,2024-09-30,"""Ukraine Fact Check""",FALSE,,"Posts on social media falsely cite Sheinbaum as rejecting the invitation by saying, about Zelenskiy, “If I wanted to see a drug addict, I'd just take a walk around Tijuana.”"," “If I wanted to see a drug addict, I'd just take a walk around Tijuana.”","Mexican President-elect Claudia Sheinbaum said on Sept. 17 that she did not immediately plan to visit Ukraine, citing her prioritization of domestic issues and Mexico’s principle of non-interference in foreign affairs. She did not call Ukrainian President Volodymyr Zelenskiy a drug addict, contrary to a fabricated quote shared online.",Yes,No,No,No
22,Reuters,https://www.reuters.com/fact-check/orange-smoke-cloud-photo-predates-kursk-assault-by-nearly-decade-2024-08-16/,Fact Check: Orange smoke cloud photo predates Kursk assault by nearly a decade,2024-08-11,2024-08-16,"""Ukraine Fact Check""",MISCAPTIONED,https://web.archive.org/web/20250708172556/https://pbs.twimg.com/media/GUqcvO4XAAAP3dz?format=jpg&name=large,"The caption of one of the social media posts sharing the image says, in part: “First picture of a CHEMICAL attack by Ukrainian artillery in KURSK !!!!!!! The Armed Forces of Ukraine used chemical weapons in the Kursk region. According to the Aida group, the enemy used ammunition filled with chlorine.”","“First picture of a CHEMICAL attack by Ukrainian artillery in KURSK !!!!!!! The Armed Forces of Ukraine used chemical weapons in the Kursk region. According to the Aida group, the enemy used ammunition filled with chlorine.”","The same scene can be seen at timestamp 00:09 of a March 2015 BBC News video titled “Islamic State's toxic ‘chlorine gas’ bombs.”
The clip, provided by Iraqi officials, shows orange smoke rising from a controlled explosion and Iraqi officials said there was evidence that Islamic State militants were using chlorine gas in roadside bombing in Iraq, the BBC reported. A photo taken by Reuters in March 2015 in a town north of the Iraqi capital Baghdad shows a chlorine-tinged cloud of smoke rising from a bomb detonated by Iraqi troops and Shi’ite forces.",No,Yes,No,No
23,Snopes,https://www.snopes.com/fact-check/trump-military-aid-ukraine/,"Trump falsely claimed US spent $350B on military aid to Ukraine
",2025-02-19,2025-03-13,"""Ukraine""",FALSE,,"As of February 2025, the United States had given $350 billion in military aid to Ukraine for its war with Russia.","As of February 2025, the United States had given $350 billion in military aid to Ukraine for its war with Russia.","It's possible to arrive at varying totals depending on how military aid is defined or by considering how much money was allocated — as opposed to actually paid out — by the U.S. government, but none of these totals amounts to $350 billion.
Trump's claim is incorrect. While it is possible to arrive at varying totals using different ways to categorize or count the financial figures, none amounts to $350 billion. As of this writing, the United States had allocated nearly $183 billion for the response to Russia's 2022 invasion of Ukraine, according to the U.S. government's inspector general overseeing the situation. That amount includes more than just what the U.S. government directly sent to Ukraine — and only $83 billion had actually been paid out as of December 2024. Thus, we rate this claim false. ",Yes,No,No,No
24,Snopes,https://www.snopes.com/fact-check/warren-buffett-500-million-ukraine/,Warren Buffett did not send more than $500M to Ukraine — but his son did,2025-03-04,2025-03-12,"""Ukraine""",FALSE,,Warren Buffett has given more than $500 million to Ukraine.,Warren Buffett has given more than $500 million to Ukraine.,"Howard Buffett, Warren Buffett's son, donated more than $800 million to Ukraine since 2022, through his own foundation.",Yes,No,No,No
25,Snopes,https://www.snopes.com/fact-check/jd-vance-cousin-nate-fought-in-ukraine-3-years/,"Yes, Vice President JD Vance's cousin Nate fought in Ukraine for three years
",2025-03-11,2025-03-12,"""Ukraine""",TRUE,,U.S. Vice President JD Vance's cousin Nate Vance fought in Ukraine for three years during its war with Russia.,U.S. Vice President JD Vance's cousin Nate Vance fought in Ukraine for three years during its war with Russia.,"Snopes readers searched our site and submitted emails asking if the claim was true. While we could not independently confirm that the claim was true, several reputable news organizations from various countries, including CNN and French newspaper Le Figaro (archived), all reported that Vance volunteered to fight in Ukraine and served alongside Ukrainian forces for three years, and provided sufficient photographic evidence.",Yes,No,No,No
26,Snopes,https://www.snopes.com/fact-check/zelenskyy-us-ukraine-war-quote/,Zelenskyy saying US will have to send 'sons and daughters to war' in Ukraine is from old video,2025-03-03,2025-03-05,"""Ukraine""",MISCAPTIONED,,"Ukrainian President Volodymyr Zelenskyy said the U.S. will have ""to send their sons and daughters"" to die for Ukraine after having a heated exchange with U.S. President Donald Trump at the White House in February 2025.","Ukrainian President Volodymyr Zelenskyy said the U.S. will have ""to send their sons and daughters"" to die for Ukraine after having a heated exchange with U.S. President Donald Trump at the White House in February 2025.","Zelenskyy did say, ""The U.S. will have to send their sons and daughters exactly the same way as we are sending [our] sons and daughters to war."" However, he was talking about a hypothetical situation in which Ukraine losing the war against Russia would lead to a broader conflict resulting in Americans being pulled into fighting. He made this statement in February 2023, two years before the exchange with Trump took place.",Yes,No,No,No
